Character,Direction,Eccentricity,Reaction Time (s)
da,0,10,0.2983866
da,0,40,0.2869447
da,0,0,0.2590893
da,0,40,0.2343182
da,0,0,0.2378375
da,0,30,0.2327445
da,0,10,0.1827483
da,0,30,0.2665134
da,0,40,0.2384259
da,0,30,0.06559
da,0,0,0.2368142
da,0,10,0.2150897
da,0,0,0.2423311
da,0,0,0.2047925
da,0,20,0.001616
da,0,20,0.0421696
da,0,10,0.0581149
da,0,0,0.1236212
da,0,40,0.222351
da,0,10,0.2421525
da,0,20,0.2730921
da,0,30,0.1805521
da,0,10,0.2668085
da,0,40,0.29628
da,0,20,0.3132108
da,0,30,0.2808436
da,0,40,0.2138042
da,0,20,0.2673588
da,0,30,0.3135581
da,0,20,0.2633411
da,0,20,0.2459085
da,0,10,0.248379
da,0,20,0.2798576
da,0,0,0.2619701
da,0,40,0.2040459
da,0,10,0.2499554
da,0,0,0.2586309
da,0,20,0.2628956
da,0,0,0.2658456
da,0,10,0.4476897
da,0,10,0.2746639
da,0,30,0.2492378
da,0,30,0.2888798
da,0,20,0.2935438
da,0,0,0.2792465
da,0,40,0.23415
da,0,40,0.2679116
da,0,30,0.2285482
da,0,30,0.2670468
da,0,40,0.1335766
da,2,0,0.2789917
da,2,20,0.1977661
da,2,40,0.2779989
da,2,40,0.2959805
da,2,0,0.2401213
da,2,40,0.1129221
da,2,30,0.2770662
da,2,0,0.2686969
da,2,20,0.2595236
da,2,0,0.2967815
da,2,40,0.251844
da,2,10,0.2756444
da,2,20,0.2556381
da,2,30,0.214999
da,2,20,0.270501
da,2,20,0.2278828
da,2,10,0.2788329
da,2,20,0.3480448
da,2,30,0.3300098
da,2,30,0.2368011
da,2,40,0.276292
da,2,10,0.2245943
da,2,30,0.2444294
da,2,20,0.2728775
da,2,0,0.2363699
da,2,10,0.2056321
da,2,0,0.232733
da,2,10,0.251213
da,2,20,0.2181796
da,2,40,0.229011
da,2,40,0.2215102
da,2,20,0.2460018
da,2,0,0.2499049
da,2,10,0.0824373
da,2,10,0.2333166
da,2,0,0.2151325
da,2,40,0.2663436
da,2,10,0.2003336
da,2,10,0.2091634
da,2,30,0.1916169
da,2,40,0.3073295
da,2,0,0.1961244
da,2,30,0.2285789
da,2,30,0.3312847
da,2,40,0.2976742
da,2,20,0.2670897
da,2,0,0.263211
da,2,30,0.2828814
da,2,30,0.4043494
da,2,10,0.326153
