Letter,Direction,Eccentricity,Reaction Time (s)
E,2,0,0.27115590003086254
E,2,0,0.3096077999798581
E,2,0,0.3057999999728054
E,2,20,0.24098509998293594
E,2,20,0.22284170001512393
E,2,20,0.23939030000474304
E,2,10,0.24179040000308305
E,2,40,0.2454653000459075
E,2,10,0.2139333999948576
E,2,30,0.2448510000249371
E,2,0,0.3016856000176631
E,2,20,0.24538559996290132
E,2,0,0.2733130000415258
E,2,40,0.27609430003212765
E,2,30,0.23417470004642382
E,2,40,0.2579692999715917
E,2,30,0.23841270001139492
E,2,40,0.2813690000330098
E,2,0,0.30082290002610534
E,2,40,0.24875689996406436
E,2,10,0.22869530000025406
E,2,20,0.26989830000093207
E,2,30,0.273683000006713
E,2,20,0.2892162000061944
E,2,30,0.2464462000061758
E,2,30,0.28311040002154186
E,2,30,0.27567820000695065
E,2,10,0.2867684999946505
E,2,0,0.2105231000459753
E,2,40,0.2761937999748625
E,2,30,0.24128580000251532
E,2,40,0.3072692999849096
E,2,10,0.27986270003020763
E,2,20,0.2085067000007257
E,2,10,0.25112589995842427
E,2,0,0.2940723999636248
E,2,40,0.26630209997529164
E,2,10,0.269661600003019
E,2,30,0.27516830002423376
E,2,20,0.2603409999865107
E,2,30,0.2749114000471309
E,2,0,0.3235646999673918
E,2,10,0.39512030000332743
E,2,10,0.25823390000732616
E,2,0,0.3085119999595918
E,2,40,0.2989153999951668
E,2,20,0.26855509995948523
E,2,10,0.2651785999769345
E,2,40,0.28181479999329895
E,2,20,0.2821707999682985
E,0,10,0.23983430000953376
E,0,40,0.25784169998951256
E,0,0,0.23332010000012815
E,0,40,0.17508740001358092
E,0,40,0.20703300001332536
E,0,20,0.23148690001107752
E,0,0,0.2352926000021398
E,0,20,0.20924679999006912
E,0,20,0.2489091000170447
E,0,10,0.25799380004173145
E,0,20,0.2163468999788165
E,0,0,0.252144500031136
E,0,10,0.2688553999760188
E,0,0,0.11423799995100126
E,0,0,0.261269899958279
E,0,40,0.22199529997305945
E,0,20,0.2594567000051029
E,0,30,0.24858029995812103
E,0,30,0.2647468999493867
E,0,0,0.2607328000012785
E,0,0,0.255257899989374
E,0,10,0.2822308000177145
E,0,10,0.2406477000331506
E,0,40,0.26836400001775473
E,0,10,0.258230299979914
E,0,30,0.2821927000186406
E,0,0,0.2295532000134699
E,0,40,0.2782283999840729
E,0,20,0.25362749997293577
E,0,20,0.2796045999857597
E,0,10,0.2512847000034526
E,0,30,0.23737719998462126
E,0,30,0.22845199995208532
E,0,40,0.32723300001816824
E,0,30,0.21453749999636784
E,0,20,0.2616018000408076
E,0,20,0.27524270000867546
E,0,10,0.2758290999918245
E,0,20,0.2214434000197798
E,0,0,0.323918100039009
E,0,30,0.26897810003720224
E,0,40,0.2696950000245124
E,0,30,0.2509643000084907
E,0,0,0.26497849996667355
E,0,40,0.38905090000480413
E,0,30,0.265721800038591
E,0,40,0.2351524000405334
E,0,10,0.25669399998150766
E,0,30,0.2575991000048816
E,0,10,0.27857560000848025
