Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0,0,35,0.5344677
45,0,15,0.5122306
45,0,25,0.4365752
90,0,35,0.5265679
0,0,30,0.4910189
0,0,5,0.3839126
45,0,10,0.5423718
0,0,20,0.6109553
0,0,0,0.3876085
0,0,20,0.4915292
45,0,40,0.6145037
0,0,40,0.7438479
90,0,35,0.4713148
0,0,20,0.5538434
45,0,25,0.4202579
0,0,25,0.395491
45,0,35,0.4783831
90,0,0,0.533606
90,0,40,0.5522112
45,0,15,0.4301407
45,0,15,0.4757052
90,0,5,0.3947524
90,0,20,0.4817818
0,0,30,0.497238
0,0,30,0.7864621
90,0,20,0.4460097
90,0,30,0.5603695
45,0,15,0.5035642
45,0,10,0.605903
90,0,35,0.5468736
45,0,15,0.5016391
45,0,30,0.4332743
0,0,0,0.7447223
0,0,15,0.5473827
0,0,15,0.4816787
90,0,20,0.6093084
90,0,25,0.6896499
45,0,0,0.4590583
90,0,20,0.5111461
45,0,25,0.4954705
45,0,35,0.4726344
90,0,40,0.5235706
90,0,35,0.5181307
45,0,40,0.4975063
0,0,5,0.5163367
90,0,40,0.4992637
90,0,25,0.4820026
90,0,20,0.6034038
0,0,10,0.4672414
90,0,20,0.4268601
90,0,15,0.4117583
90,0,25,0.4943044
45,0,35,0.5184727
90,0,15,0.4227138
45,0,5,0.4120433
0,0,0,0.4998692
0,0,40,0.7330942
45,0,5,0.3811653
45,0,10,0.4236159
45,0,10,0.388426
90,0,30,0.5231797
0,0,35,0.5900492
0,0,25,0.6193948
0,0,10,0.6290602
45,0,20,0.6352803
0,0,40,0.5711771
0,0,0,0.4333605
90,0,0,0.55516
45,0,30,0.5197179
45,0,30,0.5811397
0,0,10,0.4823246
45,0,0,0.4834099
90,0,5,0.5068743
45,0,35,0.5427932
45,0,15,0.4331468
0,0,25,0.4750014
90,0,5,0.6828322
0,0,40,0.5466124
45,0,10,0.4936487
0,0,5,0.4915768
45,0,10,0.4933535
90,0,5,0.4940248
90,0,30,0.5846046
90,0,25,0.7331749
45,0,0,0.5796431
90,0,40,0.6444365
90,0,10,0.4527294
45,0,0,0.425296
0,0,30,0.5386919
90,0,5,0.4674751
45,2,35,0.4537699
45,2,25,0.5323076
90,2,0,0.4665964
0,2,30,0.4521902
0,2,0,0.435595
45,2,0,0.4363401
45,2,20,0.4763021
45,2,30,0.4248637
0,2,5,0.4516321
90,2,5,0.5232594
0,2,40,0.5732376
45,2,10,0.3920149
0,2,40,0.5267362
90,2,30,0.547064
0,2,35,0.6956657
45,2,40,0.4428564
90,2,30,0.5271479
0,2,40,0.5017279
0,2,5,0.4722307
0,2,10,0.5222777
90,2,35,0.4586668
0,2,5,0.4733843
90,2,10,0.4891699
45,2,35,0.5066956
45,2,0,0.5312331
90,2,30,0.5485302
90,2,20,0.8484355
90,2,40,0.427648
90,2,15,0.429609
45,2,35,0.3775038
45,2,0,0.4065236
0,2,35,0.6713193
0,2,5,0.4599595
90,2,10,0.5236922
90,2,40,0.5436258
45,2,35,0.5480803
45,2,40,0.5957825
0,2,30,0.6478717
90,2,10,0.4827805
45,2,20,0.4190855
45,2,40,0.4529083
90,2,5,0.4661039
45,2,25,0.3878477
45,2,0,0.431044
0,2,25,0.5578988
45,2,5,0.4036966
0,2,0,0.8876305
45,2,15,0.4373995
90,2,10,0.6132278
0,2,30,0.5135404
0,2,15,0.5215319
45,2,10,0.4505099
0,2,30,0.5286825
90,2,25,0.4667973
45,2,20,0.427271
90,2,40,0.7765293
90,2,5,0.4994862
90,2,15,0.420829
0,2,20,0.5179502
90,2,25,0.6886657
90,2,5,0.4422855
90,2,15,0.4031878
0,2,10,0.5853185
0,2,35,0.5171006
45,2,0,0.4663914
0,2,15,0.58442
45,2,40,0.5166834
90,2,30,0.5344637
45,2,25,0.488136
45,2,20,0.476314
45,2,20,0.3680644
90,2,35,0.5600458
90,2,30,0.5073334
0,2,25,0.5069847
45,2,15,0.4337643
45,2,35,0.4952238
0,2,15,0.5289101
45,2,20,0.4390641
0,2,0,0.5008531
45,2,10,0.4075343
90,2,25,0.7483645
0,2,0,0.5741158
90,2,25,0.6335712
45,2,15,0.4479045
0,2,20,0.5325887
45,2,25,0.4235701
90,2,10,0.5181938
45,2,15,0.3921913
0,2,20,0.4170903
0,2,5,0.4481597
